area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
77.01,2019-06-26 12:43:34,简装,无电梯,低楼层(共8层)1984年建板楼,7,bf3168f26753016394283b685c877b3f,园岭,16,南 北,23天以前,2室2厅,公司房源，集体出售，看房方便，价格低廉，随时可签,545,万,70771,园岭新村 
80.09,2019-06-26 12:43:34,精装,有电梯,高楼层(共33层)2003年建板塔结合,111,df13beeeaa7fa509fc4c2cff5d4d6c79,西乡,43,东北,2个月以前,3室2厅,业主带装修出售实用三房 楼层好 拎包入住 省心 省事,446,万,55688,泰华明珠 
39.2,2019-06-26 12:43:34,简装,无电梯,中楼层(共7层)1993年建板楼,23,2b4111b7c2ebeeee61ca79857a22bb1c,科技园,19,北,一年前,1室1厅,南山科技园 南外文华旁 总价低,420,万,107143,科技园三十四区 
44.09,2019-06-26 12:43:34,精装,有电梯,低楼层(共17层)2002年建板塔结合,55,24f19f6542e67877a2c44c38d6536d72,莲塘,19,南,8个月以前,2室1厅,一改二，小两房，精装修，自住方便看房。,223,万,50579,聚福花园 
46.55,2019-06-26 12:43:34,精装,无电梯,中楼层(共8层)1999年建板塔结合,28,dab648e043c0d22f1eb9010808acb524,布吉街,38,北,1个月以前,2室1厅,中间楼层采光好，保养好，看房方便业主自己赎楼税费少,178,万,38239,又一村花园 
78.79,2019-06-26 12:43:34,精装,有电梯,中楼层(共18层)2012年建板塔结合,20,48621c12e8c196873380bfa51d6197fb,龙岗中心城,18,南,1个月以前,2室1厅,满五唯一..业主诚心出售.带精装修,305,万,38711,喜福汇 
68.67,2019-06-26 12:43:34,简装,有电梯,中楼层(共32层)2003年建板塔结合,22,64b7562803633c53b8f4954969af1596,皇岗,4,北,10天以前,2室1厅,舒适2房，客厅带大阳台，得房率高，交通便利,405,万,58978,星河华居 
81.04,2019-06-26 12:43:34,简装,有电梯,低楼层(共31层)2004年建塔楼,13,7af4477fb45632e8df301d4a997be52c,后海,7,东北,4个月以前,2室1厅,滨海之窗 实用2房 阳台和花园近距离,1030,万,127098,滨海之窗 
71.59,2019-06-26 12:43:34,精装,无电梯,中楼层(共7层)2002年建板塔结合,25,edc8317f3c713793779b988c0ab55a00,西乡,24,西北,25天以前,2室2厅,精装实用大2房 满五唯一红本在手 视野开阔 通风采光好,388,万,54198,丽景城 
101.19,2019-06-26 12:43:34,精装,有电梯,中楼层(共18层)2003年建板塔结合,29,b19ff72edc8f3075b6e4f431c3bec52c,宝安中心,12,东北,17天以前,3室2厅,核 心地段，花园社区，正规小三房，随时看房,640,万,63248,富通好旺角一期 
33.14,2019-06-26 12:43:34,精装,有电梯,中楼层(共31层)2013年建板塔结合,34,2d6cf1dc054b7d73176fb26de523ce9f,碧海,30,西北,2个月以前,1室1厅,圣拿威标准一房一厅客厅出阳台 方正户型 12年新小区,238,万,71817,广兴源圣拿威 
74.32,2019-06-26 12:43:34,简装,有电梯,高楼层(共33层)2001年建板塔结合,12,983f005e546f9956b724a4d586768159,新安,29,西北,1个月以前,2室1厅,餐厅客厅窗户对流  电梯两房诚心出售，位置好,428,万,57589,新安湖花园 
55.49,2019-06-26 12:43:34,精装,无电梯,低楼层(共6层)2003年建板塔结合,83,88095deb10170d9195aa1e0b7a15674a,西乡,77,西南,31天以前,2室1厅,标准两房，西南看花园安静，满五唯一，适合年轻人过渡,315,万,56767,青春庭园 
