area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
90,2019-06-26 12:48:49,简装,无电梯,高楼层(共5层)2010年建板楼,21,7216331f4da93752429beb1682fe3794,西渡,32,南,1个月以前,2室2厅,2010年新房 5楼带阁楼 精装修 保养很好位置小区中间,260,万,28889,新南家园 
99.49,2019-06-26 12:48:49,毛坯,无电梯,低楼层(共6层)2007年建板楼,10,89a9db2c43df22268dded7662846696d,川沙,10,南 北,1个月以前,3室2厅,新德佳苑07年竣工，南北通大三房，一手动迁税费少,420,万,42216,新德佳苑 
98.36,2019-06-26 12:48:49,毛坯,无电梯,高楼层(共6层)2005年建板楼,13,67561dbaba851bab39d674aa977789a7,川沙,14,南,1个月以前,3室2厅,园西在门口 复式阁楼+露台阳台 小区中间位置 业主动迁,430,万,43717,万馨佳园 
66.5,2019-06-26 12:48:49,精装,无电梯,高楼层(共6层)1997年建板楼,62,b198021a047625e53584ec506afe139f,三林,15,南 北,1个月以前,2室1厅,满五唯一 精装修 价格优惠 近11号线三林站 诚心出售,340,万,51128,翠竹苑 
73.67,2019-06-26 12:48:49,精装,无电梯,低楼层(共6层)2002年建板楼,56,46aae8298ad586be3daa060b316a8d75,春申,28,南,1个月以前,2室1厅,【全明双南两房 南北通】【中间楼层诚意出售】,279,万,37872,森安苑 
53.72,2019-06-26 12:48:49,简装,无电梯,中楼层(共5层)1994年建板楼,72,e78d602e39c7ab7ca1270246eec1c349,花木,23,南,一年前,2室1厅,内环内世纪公园一房价格买二房急售,360,万,67015,玉兰路57弄 
120.41,2019-06-26 12:48:49,精装,有电梯,低楼层(共35层)2001年建塔楼,193,0d07101c0f07760ded58e95adb9180ab,世博滨江,21,南 北,10个月以前,3室2厅,融创滨江、高品质小区、小户型三房、带车位，随时看房,1180,万,97999,融创滨江壹号院 
127.5,2019-06-26 12:48:49,精装,有电梯,高楼层(共21层)2013年建板塔结合,68,7b49cfae3972b97056766679b12aab32,顾村,21,南,1个月以前,4室2厅,7号线，近顾村公园  保利叶语高区，前排景观四房,610,万,47844,保利叶语(二期)(公寓) 
100.82,2019-06-26 12:48:49,精装,有电梯,低楼层(共13层)2011年建板楼,102,9988e5051fc3fe57e31955c05e082028,七宝,23,南,11个月以前,3室2厅,万科品质  次新房 业主诚心出售  电梯房  不容错过,660,万,65464,万科城花新园 
52.98,2019-06-26 12:48:49,简装,无电梯,高楼层(共6层)1988年建板楼,78,e355d3bc19a1ecb298ed05a70faf47c8,老闵行,19,南,9个月以前,2室1厅,经典两型房 客厅带阳台朝南 顶楼采光好,152,万,28691,凤庆小区 
